resp_sex,resp_age,resp_hire,cand_id,cand_sex,cand_smile,cand_select,cand_competency,cand_competency_fct
F,36-45,sometimes,1,F,no,0,0.5714285714285714,4
F,26-35,always,1,F,no,0,1,7
M,26-35,always,1,F,no,0,0.42857142857142855,3
F,26-35,always,1,F,no,0,0.8571428571428571,6
M,26-35,always,1,F,no,0,0.5714285714285714,4
M,26-35,sometimes,1,F,no,0,1,7
M,26-35,always,1,F,no,0,1,7
M,26-35,sometimes,1,F,no,0,1,7
M,26-35,always,1,F,no,0,0.42857142857142855,3
M,36-45,always,1,F,no,0,0.5714285714285714,4
M,26-35,always,1,F,no,0,0.42857142857142855,3
M,36-45,sometimes,1,F,no,0,0.8571428571428571,6
M,26-35,always,1,F,no,0,0.7142857142857143,5
M,36-45,always,1,F,no,0,0.42857142857142855,3
F,<25,sometimes,1,F,no,0,0.8571428571428571,6
M,26-35,sometimes,1,F,no,0,0.7142857142857143,5
M,<25,always,1,F,no,0,0.8571428571428571,6
M,26-35,sometimes,1,F,no,0,0.5714285714285714,4
M,<25,never,1,F,no,0,0.8571428571428571,6
M,<25,never,1,F,no,0,0.8571428571428571,6
M,26-35,always,1,F,no,0,0.42857142857142855,3
M,<25,sometimes,1,F,no,0,0.5714285714285714,4
F,26-35,never,1,F,no,0,0.42857142857142855,3
F,26-35,never,1,F,no,0,0.7142857142857143,5
M,<25,sometimes,1,F,no,0,0.8571428571428571,6
M,<25,never,1,F,no,0,0.7142857142857143,5
M,<25,never,1,F,no,0,0.7142857142857143,5
F,26-35,always,1,F,no,0,0.42857142857142855,3
M,36-45,sometimes,1,F,no,0,0.42857142857142855,3
F,<25,never,1,F,no,0,0.5714285714285714,4
F,<25,never,1,F,no,0,0.5714285714285714,4
M,26-35,sometimes,1,F,no,0,0.7142857142857143,5
M,26-35,always,1,F,no,0,0.5714285714285714,4
M,36-45,always,1,F,no,0,0.5714285714285714,4
M,26-35,sometimes,1,F,no,0,0.7142857142857143,5
F,26-35,never,1,F,no,0,0.42857142857142855,3
M,36-45,never,1,F,no,0,0.7142857142857143,5
M,36-45,sometimes,1,F,no,0,0.42857142857142855,3
M,26-35,always,1,F,no,0,0.7142857142857143,5
M,<25,never,1,F,no,0,0.5714285714285714,4
F,26-35,never,1,F,no,0,0.7142857142857143,5
F,36-45,sometimes,1,F,no,0,1,7
F,<25,always,1,F,no,0,0.5714285714285714,4
F,26-35,never,1,F,no,0,0.5714285714285714,4
F,26-35,sometimes,1,F,no,0,0.5714285714285714,4
M,26-35,sometimes,1,F,no,0,0.8571428571428571,6
F,26-35,always,1,F,no,0,0.7142857142857143,5
F,26-35,never,1,F,no,0,0.5714285714285714,4
M,26-35,always,1,F,no,0,1,7
M,26-35,always,1,F,no,0,0.42857142857142855,3
M,<25,never,1,F,no,0,0.7142857142857143,5
F,26-35,never,1,F,no,0,0.7142857142857143,5
M,<25,never,1,F,no,0,0.42857142857142855,3
F,<25,never,1,F,no,0,0.5714285714285714,4
M,26-35,never,1,F,no,0,0.5714285714285714,4
M,<25,sometimes,1,F,no,0,0.42857142857142855,3
F,26-35,sometimes,1,F,no,0,0.7142857142857143,5
F,<25,sometimes,1,F,no,0,0.5714285714285714,4
M,<25,never,1,F,no,0,0.7142857142857143,5
M,26-35,always,1,F,no,0,0.2857142857142857,2
M,<25,never,1,F,no,0,0.8571428571428571,6
M,<25,never,1,F,no,0,0.5714285714285714,4
F,36-45,sometimes,1,F,no,0,0.8571428571428571,6
M,26-35,sometimes,1,F,no,0,0.5714285714285714,4
F,<25,sometimes,1,F,no,0,0.8571428571428571,6
M,26-35,never,1,F,no,0,0.8571428571428571,6
M,26-35,always,1,F,no,0,0.5714285714285714,4
M,26-35,sometimes,1,F,no,0,0.7142857142857143,5
M,26-35,never,1,F,no,0,0.5714285714285714,4
F,26-35,never,1,F,no,0,0.42857142857142855,3
F,<25,never,1,F,no,0,0.7142857142857143,5
F,<25,never,1,F,no,0,0.7142857142857143,5
M,<25,never,1,F,no,0,0.5714285714285714,4
M,36-45,sometimes,1,F,no,0,0.5714285714285714,4
M,26-35,never,1,F,no,0,0.5714285714285714,4
M,26-35,sometimes,1,F,no,0,0.8571428571428571,6
F,36-45,sometimes,1,F,no,0,0.7142857142857143,5
M,36-45,always,1,F,no,0,0.7142857142857143,5
M,36-45,sometimes,1,F,no,0,0.5714285714285714,4
M,<25,never,1,F,no,0,0.7142857142857143,5
M,26-35,always,1,F,no,0,0.7142857142857143,5
F,26-35,sometimes,1,F,no,0,0.8571428571428571,6
F,<25,never,1,F,no,0,0.8571428571428571,6
